time,ID,USD
2019-06-28T03:13:30.000Z,1631908,8.93
2019-06-28T03:13:30.000Z,1632247,2.5
2019-06-28T03:12:56.000Z,1614390,7.44
2019-06-28T03:12:07.000Z,1621326,3.27
2019-06-28T03:11:40.000Z,1614468,3.27
2019-06-28T03:09:59.000Z,1035539,0.56
2019-06-28T03:07:07.000Z,1632630,14.85
2019-06-28T03:02:11.000Z,1187722,0.74
2019-06-28T03:01:33.000Z,1630922,17.75
2019-06-28T03:00:18.000Z,1267061,1.49
2019-06-28T02:57:15.000Z,1428445,0.62
2019-06-28T02:56:18.000Z,1619128,0.6
2019-06-28T02:55:49.000Z,1584264,1.54
2019-06-28T02:54:57.000Z,1101,494.42
2019-06-28T02:53:42.000Z,1042637,0.4
2019-06-28T02:53:18.000Z,1046910,3.0
2019-06-28T02:53:03.000Z,1030837,0.75
2019-06-28T02:53:03.000Z,1629683,1.5
2019-06-28T02:51:28.000Z,1132366,0.57
2019-06-28T02:51:28.000Z,1624128,1.5
2019-06-28T02:51:03.000Z,1617113,0.9
2019-06-28T02:50:16.000Z,1626526,5.4
2019-06-28T02:48:41.000Z,1631265,0.57
2019-06-28T02:48:11.000Z,1541600,9.03
2019-06-28T02:46:27.000Z,1621883,3.01
2019-06-28T02:45:05.000Z,1170573,2.1
2019-06-28T02:40:22.000Z,993675,0.98
2019-06-28T02:36:05.000Z,1115724,2.69
2019-06-28T02:31:31.000Z,1631015,2.7
2019-06-28T02:26:41.000Z,1614115,5.74
2019-06-28T02:25:08.000Z,1513656,8.46
2019-06-28T02:23:59.000Z,1583328,8.47
2019-06-28T02:20:35.000Z,1584309,1.61
2019-06-28T02:19:42.000Z,1064428,0.36
2019-06-28T02:09:03.000Z,1633562,12.08
2019-06-28T02:08:15.000Z,1029315,0.9
2019-06-28T02:04:39.000Z,1438668,12.04
2019-06-28T02:04:39.000Z,1624707,1.21
2019-06-28T02:04:33.000Z,1435969,11.6
2019-06-28T01:58:43.000Z,1629606,2.71
2019-06-28T01:58:26.000Z,1581410,0.54
2019-06-28T01:52:51.000Z,1563835,2.72
2019-06-28T01:47:59.000Z,1177465,2.48
2019-06-28T01:43:34.000Z,1630692,0.85
2019-06-28T01:42:42.000Z,1618627,2.72
2019-06-28T01:40:36.000Z,1416344,0.39
2019-06-28T01:37:15.000Z,1354946,1.49
2019-06-28T01:36:50.000Z,1510362,2.31
2019-06-28T01:32:42.000Z,1620186,3.55
2019-06-28T01:32:16.000Z,1265357,0.37
2019-06-28T01:29:47.000Z,1627859,2.98
2019-06-28T01:28:40.000Z,1604430,1.53
2019-06-28T01:28:40.000Z,1605321,1.53
2019-06-28T01:28:24.000Z,1216661,0.91
2019-06-28T01:26:37.000Z,1002108,2.67
2019-06-28T01:23:49.000Z,1028301,0.9
2019-06-28T01:23:47.000Z,1029519,0.76
2019-06-28T01:22:15.000Z,1545993,7.57
2019-06-28T01:19:15.000Z,1110708,0.45
2019-06-28T01:18:50.000Z,1611004,1.53
2019-06-28T01:18:50.000Z,1596677,1.53
2019-06-28T01:18:50.000Z,1610912,0.92
2019-06-28T01:17:19.000Z,1044458,0.76
2019-06-28T01:17:19.000Z,1045545,0.76
2019-06-28T01:17:19.000Z,1029538,0.91
2019-06-28T01:16:25.000Z,1032067,0.76
2019-06-28T01:11:34.000Z,740358,2.73
2019-06-28T01:10:54.000Z,1162662,1.43
2019-06-28T00:59:17.000Z,1624913,2.41
2019-06-28T00:55:08.000Z,1044610,0.75
2019-06-28T00:53:00.000Z,1059611,2.5
2019-06-28T00:52:33.000Z,1616766,3.61
2019-06-28T00:52:17.000Z,1622155,1.5
2019-06-28T00:51:15.000Z,1621881,2.71
2019-06-28T00:49:13.000Z,1371633,2.57
2019-06-28T00:47:24.000Z,1570488,3.31
2019-06-28T00:45:55.000Z,1583065,0.68
2019-06-28T00:42:19.000Z,1587989,4.48
2019-06-28T00:37:01.000Z,1318476,2.1
2019-06-28T00:28:13.000Z,1630578,0.34
2019-06-28T00:22:49.000Z,1540977,2.09
2019-06-28T00:06:20.000Z,1005358,2.07
2019-06-27T23:48:57.000Z,1320917,2.07
2019-06-27T23:39:39.000Z,1309519,2.06
2019-06-27T23:37:25.000Z,1612927,0.59
2019-06-27T23:32:30.000Z,1217231,0.9
2019-06-27T23:30:57.000Z,1434066,2.09
2019-06-27T23:20:43.000Z,982842,0.94
2019-06-27T23:20:14.000Z,1119338,0.37
2019-06-27T23:16:14.000Z,1628050,15.08
2019-06-27T23:13:29.000Z,1059665,1.92
2019-06-27T23:07:03.000Z,13171,120.59
2019-06-27T22:59:59.000Z,882238,22.55
2019-06-27T22:36:24.000Z,1439120,1.97
2019-06-27T22:35:45.000Z,981720,2.61
2019-06-27T22:10:10.000Z,983103,0.45
2019-06-27T22:09:18.000Z,1486266,0.46
2019-06-27T22:02:10.000Z,1634704,12.8
2019-06-27T21:56:00.000Z,1607201,13.48
2019-06-27T21:51:52.000Z,1198259,0.74
2019-06-27T21:50:41.000Z,1143377,58.75
2019-06-27T21:50:34.000Z,372994,0.59
2019-06-27T21:27:46.000Z,1632461,3.66
2019-06-27T21:25:51.000Z,640477,0.52
