date,open,high,low,close,volume,marketcap
2018-08-26,279.52,279.52,272.44,275.2,1206650000,27953028997
2018-08-25,283.28,283.51,278.47,279.65,1208360000,28399212923
2018-08-24,278.11,283.3,273.86,282.97,1450170000,28730705349
2018-08-23,271.75,279.55,271.09,277.1,1271160000,28129662664
2018-08-22,281.97,297.49,265.0,271.34,1507660000,27539119679
2018-08-21,273.33,285.97,273.33,281.94,1164120000,28609531323
2018-08-20,301.38,304.37,273.51,274.31,1413790000,27829775231
2018-08-19,295.67,307.1,291.33,300.83,1447910000,30514025774
2018-08-18,316.79,320.45,286.55,295.81,1764020000,29998584852
2018-08-17,287.68,316.17,287.35,315.73,1995460000,32011921283
2018-08-16,282.74,298.48,280.93,288.05,1552970000,29199228646
2018-08-15,280.39,303.59,280.12,282.36,1878150000,28617473116
2018-08-14,286.37,286.37,254.65,278.93,2137850000,28263969132
2018-08-13,320.21,323.55,284.93,286.5,1751190000,29024490503
2018-08-12,320.82,328.59,318.6,319.57,1625420000,32368768332
2018-08-11,334.26,334.26,308.49,322.11,1790370000,32619681420
2018-08-10,365.78,367.05,329.59,334.18,1699400000,33834485092
2018-08-09,356.97,370.95,353.61,365.59,1616610000,37007391031
2018-08-08,379.89,380.67,353.73,356.61,2016080000,36091566801
2018-08-07,406.8,411.4,376.08,380.21,1828350000,38472420233
2018-08-06,410.57,414.54,403.31,406.66,1384880000,41139790462
2018-08-05,407.35,413.72,402.43,410.52,1396820000,41521715110
2018-08-04,418.24,420.19,403.78,407.25,1466540000,41183215694
2018-08-03,412.57,420.55,399.91,418.26,1722340000,42287977978
2018-08-02,420.81,425.03,410.31,412.62,1569300000,41709183608
2018-08-01,433.87,435.46,410.46,420.75,1888060000,42521937218
2018-07-31,457.25,457.25,430.44,433.87,1820680000,43839034237
2018-07-30,466.83,467.95,448.64,457.08,2141590000,46175217427
2018-07-29,466.92,470.36,462.71,466.67,1631910016,47133881666
2018-07-28,469.68,471.59,462.99,466.9,1531890048,47147853886
2018-07-27,464.01,473.22,458.29,469.67,1734259968,47417755376
2018-07-26,472.33,483.7,461.42,464.04,1621560064,46839932193
2018-07-25,479.91,482.87,466.47,472.49,1930780032,47683830874
2018-07-24,451.14,481.14,450.57,479.37,2287520000,48368209917
2018-07-23,459.44,469.77,449.73,450.85,1596999936,45481301491
2018-07-22,462.44,470.9,458.12,459.66,1338589952,46360029757
2018-07-21,450.68,468.08,445.78,462.44,1504310016,46630720739
2018-07-20,469.31,469.31,443.69,450.7,1821350016,45437819522
2018-07-19,480.63,483.24,465.14,469.62,2068739968,47335899963
2018-07-18,500.84,513.43,474.36,480.51,2371559936,48424155624
2018-07-17,480.08,508.78,468.92,501.0,2288100096,50478766285
2018-07-16,450.42,480.66,446.8,480.66,1858680064,48419026521
2018-07-15,435.88,454.0,433.92,449.85,1350160000,45306414380
2018-07-14,434.51,439.43,431.47,436.09,1235820032,43911193561
2018-07-13,430.74,442.36,430.74,434.03,1489670016,43694988769
2018-07-12,446.5,446.5,422.81,430.07,1495440000,43288294177
2018-07-11,434.52,447.32,429.51,446.52,1422470016,44934271235
2018-07-10,476.16,478.32,433.96,434.42,1789069952,43708241775
2018-07-09,488.88,490.85,475.17,476.68,1533799936,47950212027
2018-07-08,492.07,503.2,488.42,489.12,1344560000,49191161178
2018-07-07,474.06,491.66,466.84,491.66,1358360064,49436674025
2018-07-06,474.36,479.65,457.61,474.01,1627609984,47652424064
2018-07-05,467.29,483.23,464.63,474.41,1828610048,47682968020
2018-07-04,464.15,481.44,455.18,467.32,1549769984,46960391871
2018-07-03,475.39,483.85,462.58,464.2,1683939968,46637067239
2018-07-02,453.82,479.13,447.11,475.35,1625789952,47747743959
2018-07-01,455.24,457.14,446.39,453.92,1511730048,45585861718
2018-06-30,436.21,458.8,436.21,455.18,1475939968,45703302056
2018-06-29,422.59,441.79,407.95,436.01,1564499968,43769409548
2018-06-28,442.29,443.62,419.68,422.36,1360790016,42391125054
