time,ID,USD,USD,time,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred
sapphire,630835,2,2,sapphire,False,False,,False,,,,,soserious,slyboots,sapphire,bananacream,sandalwood,egyptiankohl,leopard,pixiebob,1,True,False,1,False,0,False
bubblegum,372968,8,8,bubblegum,False,False,,False,,,,,selkirk,bubblegum,gerbil,sass,ganado,onyx,lemonade,icy,4,True,False,0,False,0,False
bubblegum,631816,7,7,bubblegum,False,False,,False,,,,,bubblegum,gerbil,ragdoll,sass,ganado,onyx,lemonade,icy,6,True,False,3,False,0,False
sizzurp,534322,14,14,sizzurp,False,False,,False,,,,,himalayan,sizzurp,thicccbrowz,totesbasic,whixtensions,salmon,barkbrown,kittencream,7,True,False,0,False,0,False
mintgreen,528857,8,8,mintgreen,False,False,,False,,,,,selkirk,mintgreen,totesbasic,grim,coffee,purplehaze,baddate,dragonfruit,4,True,False,1,False,0,False
coralsunrise,362214,1,1,coralsunrise,False,False,,False,,,,,grim,birman,coralsunrise,shadowgrey,purplehaze,egyptiankohl,wiley,rascal,0,True,False,1,False,0,False
strawberry,628464,18,18,strawberry,False,False,,False,,,,,selkirk,strawberry,luckystripe,whixtensions,wonky,greymatter,lemonade,kittencream,9,True,False,0,False,0,False
strawberry,626506,7,7,strawberry,False,False,,False,,,,,cymric,strawberry,raisedbrow,luckystripe,soserious,trioculus,swampgreen,granitegrey,9,True,False,0,False,0,False
mintgreen,608020,7,7,mintgreen,False,False,,False,,,,,selkirk,mintgreen,totesbasic,soserious,lilac,missmuffett,baddate,dragonfruit,5,True,False,0,False,0,False
thundergrey,625447,8,8,thundergrey,False,False,,False,,,,,totesbasic,ragdoll,thundergrey,grim,lilac,purplehaze,baddate,dragonfruit,4,True,False,0,False,0,False
thundergrey,627284,3,3,thundergrey,False,False,,False,,,,,gerbil,thundergrey,slyboots,ganado,savannah,apricot,purplehaze,dragonfruit,1,True,False,1,False,0,False
coralsunrise,628396,1,1,coralsunrise,False,False,,False,,,,,soserious,birman,coralsunrise,shadowgrey,royalpurple,purplehaze,tiger,wiley,2,True,False,0,False,0,False
sapphire,628346,5,5,sapphire,False,False,,False,,,,,sphynx,calicool,beard,wonky,sapphire,orangesoda,coffee,granitegrey,12,True,False,2,False,0,False
gold,623979,2,2,gold,False,False,,False,,,,,himalayan,gold,googly,totesbasic,pouty,cottoncandy,barkbrown,peach,10,True,False,0,False,0,False
mintgreen,594975,4,4,mintgreen,False,False,,False,,,,,sphynx,mintgreen,soserious,spangled,sass,orangesoda,lemonade,purplehaze,2,True,False,1,False,0,False
strawberry,329095,1,1,strawberry,False,False,,False,,,,,munchkin,strawberry,crazy,luckystripe,soserious,salmon,swampgreen,granitegrey,0,True,False,2,False,0,False
thundergrey,501258,1,1,thundergrey,False,False,,False,,,,,luckystripe,ragdoll,thundergrey,wonky,shadowgrey,coffee,sandalwood,wuvme,2,True,False,1,False,0,False
thundergrey,453076,11,11,thundergrey,False,False,,False,,,,,thundergrey,chronic,greymatter,scarlet,azaleablush,bobtail,wuvme,leopard,5,True,False,0,False,0,False
chestnut,563026,5,5,chestnut,False,False,,False,,,,,chestnut,googly,totesbasic,ragdoll,greymatter,lemonade,peach,wuvme,2,True,False,0,False,0,False
cyan,619205,2,2,cyan,False,False,,False,,,,,happygokitty,slyboots,ganado,cottoncandy,royalpurple,sandalwood,cyan,pixiebob,1,True,False,2,False,0,False
sizzurp,614824,1,1,sizzurp,False,False,,False,,,,,munchkin,sizzurp,crazy,totesbasic,pouty,cottoncandy,coffee,kittencream,0,True,False,1,False,0,False
limegreen,615439,5,5,limegreen,False,False,,False,,,,,ragamuffin,limegreen,googly,luckystripe,happygokitty,shadowgrey,royalpurple,emeraldgreen,3,True,False,0,False,0,False
chestnut,606166,6,6,chestnut,False,False,,False,,,,,chestnut,ragdoll,spangled,grim,chronic,shadowgrey,lemonade,icy,3,True,False,1,False,0,False
